"","V1","V2"
"1",138,224
"2",30.7530131139449,212.472440944882
"3",231.47592457425,295.724409448819
"4",226.099418017278,472.157480314961
"5",410.692809806666,81.8661417322835
"6",532.560291764708,436.259842519685
"7",382,237
"8",506.573843406008,55.8976377952756
"9",519.119025372277,111.653543307087
"10",260,143
"11",524.495531929249,257.535433070866
"12",570.195837663515,78.8110236220472
"13",97.1106553465273,51.5474688806921
"14",312.123522928837,335.44094488189
"15",202,102
"16",593.494032743729,142.204724409449
"17",20,113.944881889764
"18",441,281
"19",513,188
"20",395,378
"21",147,402
"22",486,361
"23",334.525633582889,423.275590551181
"24",468.042213081039,20
